VMD-mean,VMD-standard deviation,VMD-root mean square,VMD-root sum of squares,VMD-crest factor,VMD-shape factor,VMD-energy,VMD-mean abs deviation,VMD-median abs deviation,VMD-skewness,VMD-kurtosis,VMD-peak to peak,VMD-log energy,VMD-peak to rms,VMD-s.mean,VMD-s.standard deviation,VMD-s.skewness,VMD-s.kurtosis,VMD-spectral centroid,VMD-spectral rolloff,VMD-spectral flatness,VMD-GFCC-1,VMD-MFCC-1,VMD-GFCC-2,VMD-MFCC-2,VMD-GFCC-3,VMD-MFCC-3,VMD-GFCC-4,VMD-MFCC-4,VMD-GFCC-5,VMD-MFCC-5,VMD-GFCC-6,VMD-MFCC-6,VMD-GFCC-7,VMD-MFCC-7,VMD-GFCC-8,VMD-MFCC-8,VMD-GFCC-9,VMD-MFCC-9,VMD-GFCC-10,VMD-MFCC-10,VMD-GFCC-11,VMD-MFCC-11,VMD-GFCC-12,VMD-MFCC-12,VMD-GFCC-13,VMD-MFCC-13,Approx Coeff-mean,Approx Coeff-standard deviation,Approx Coeff-root mean square,Approx Coeff-root sum of squares,Approx Coeff-crest factor,Approx Coeff-shape factor,Approx Coeff-energy,Approx Coeff-mean abs deviation,Approx Coeff-median abs deviation,Approx Coeff-skewness,Approx Coeff-kurtosis,Approx Coeff-peak to peak,Approx Coeff-log energy,Approx Coeff-peak to rms,Approx Coeff-s.mean,Approx Coeff-s.standard deviation,Approx Coeff-s.skewness,Approx Coeff-s.kurtosis,Approx Coeff-spectral centroid,Approx Coeff-spectral rolloff,Approx Coeff-spectral flatness,Approx Coeff-MFCC-1,Approx Coeff-GFCC-1,Approx Coeff-MFCC-2,Approx Coeff-GFCC-2,Approx Coeff-MFCC-3,Approx Coeff-GFCC-3,Approx Coeff-MFCC-4,Approx Coeff-GFCC-4,Approx Coeff-MFCC-5,Approx Coeff-GFCC-5,Approx Coeff-MFCC-6,Approx Coeff-GFCC-6,Approx Coeff-MFCC-7,Approx Coeff-GFCC-7,Approx Coeff-MFCC-8,Approx Coeff-GFCC-8,Approx Coeff-MFCC-9,Approx Coeff-GFCC-9,Approx Coeff-MFCC-10,Approx Coeff-GFCC-10,Approx Coeff-MFCC-11,Approx Coeff-GFCC-11,Approx Coeff-MFCC-12,Approx Coeff-GFCC-12,Approx Coeff-MFCC-13,Approx Coeff-GFCC-13,Detail Coeff-mean,Detail Coeff-standard deviation,Detail Coeff-root mean square,Detail Coeff-root sum of squares,Detail Coeff-crest factor,Detail Coeff-shape factor,Detail Coeff-energy,Detail Coeff-mean abs deviation,Detail Coeff-median abs deviation,Detail Coeff-skewness,Detail Coeff-kurtosis,Detail Coeff-peak to peak,Detail Coeff-log energy,Detail Coeff-peak to rms,Detail Coeff-s.mean,Detail Coeff-s.standard deviation,Detail Coeff-s.skewness,Detail Coeff-s.kurtosis,Detail Coeff-spectral centroid,Detail Coeff-spectral rolloff,Detail Coeff-spectral flatness,Detail Coeff-GFCC-1,Detail Coeff-MFCC-1,Detail Coeff-GFCC-2,Detail Coeff-MFCC-2,Detail Coeff-GFCC-3,Detail Coeff-MFCC-3,Detail Coeff-GFCC-4,Detail Coeff-MFCC-4,Detail Coeff-GFCC-5,Detail Coeff-MFCC-5,Detail Coeff-GFCC-6,Detail Coeff-MFCC-6,Detail Coeff-GFCC-7,Detail Coeff-MFCC-7,Detail Coeff-GFCC-8,Detail Coeff-MFCC-8,Detail Coeff-GFCC-9,Detail Coeff-MFCC-9,Detail Coeff-GFCC-10,Detail Coeff-MFCC-10,Detail Coeff-GFCC-11,Detail Coeff-MFCC-11,Detail Coeff-GFCC-12,Detail Coeff-MFCC-12,Detail Coeff-GFCC-13,Detail Coeff-MFCC-13,Disease
0.001253015,0.033818353,0.033854547,9.575511957,10.93617015,1.56855288,123.4944863,0.023507285,0.023506715,0.048268386,15.17906518,0.617488584,4.072641783,0.290043825,1.259440782,9.585291808,10.05965355,129.5994978,514.6262021,619.1653112,4.45E-05,-605.5700691,-556.8503207,47.313068,101.9417446,41.72837643,74.90045965,34.04885761,45.81538356,25.47303031,24.88193562,17.44166324,14.94789627,11.14440525,11.82709329,7.329157895,9.835198851,6.153838638,6.448252567,7.217324512,3.192796342,9.701081362,2.738042469,12.6090523,5.225122561,15.01669386,7.569238458,-6.154674,10.751993,12.388921,67.85692,1.9230549,1.5053788,4604.561,9.954767,7.864227,-0.740980011,-1.350277719,26.300516,8.434803,-9.912979,44.520897,70.06382,1.754514432,1.634306368,2565.16681,5943.164063,0.09890455,281.85782,-288.5069768,77.90758,133.49945,32.86622,34.33895626,17.021034,24.1623969,0.4549939,11.2874761,35.165325,8.61550119,12.155464,5.62043794,4.8893986,3.381995163,-20.726395,0.762465152,-35.660324,-0.89217636,16.421642,-1.885019201,0.89334327,-1.797940832,-10.472366,-1.573788714,-0.005667547,0.3984863,0.39887223,4.999759,8.47447,1.6431736,48.27463,0.23470898,0.23338833,-0.107111448,14.38874085,3.2211516,1.926008,1.2194574,4.1889925,4.966917,1.305198733,7.487646341,6368.532634,9709.732916,0.38721004,-344.3927708,-32.47204,-80.88019488,-28.314342,-21.09204892,0.5682895,-11.66751243,-7.806391,11.33503453,2.5888681,-7.139947835,-4.0501285,-1.32181106,3.1908321,0.249079011,1.1109152,1.452735931,-4.1326184,3.253472438,-3.7092028,-2.048999509,3.1310813,1.305824533,0.048591137,-1.934025899,-2.3847628,Asthma
-0.000537913,0.064459382,0.064462679,18.23279896,9.002265948,1.451778664,469.2435515,0.048277799,0.048276458,0.018840147,7.969778032,0.831038015,5.262561034,0.383479254,2.135081548,18.23305324,12.22130916,220.1308492,520.5863606,627.2574066,4.48E-05,-557.0427448,-495.8737693,48.17250019,107.4413945,41.55264761,74.84036629,32.73927242,41.04424324,23.19958114,18.95063516,14.79940737,11.41006683,8.92040665,11.79380322,6.248003755,11.85491767,6.644123369,8.381559991,9.280714483,4.046802644,12.92077362,2.916095254,16.29051259,5.472015837,18.40239851,8.004409558,-22.6196003,27.78136253,35.82527542,196.223114,1.948496342,1.583815575,38503.50781,25.56993294,20.08448029,-0.782927654,-1.2679048,69.55995178,10.55850506,-36.07074356,130.0809937,216.9174042,2.046838878,2.976734362,2574.692867,6481.494141,0.096413888,384.7662964,-243.7349726,77.76602173,133.6602467,35.46258545,36.25054933,11.14109135,17.926392,2.376504421,3.260071136,40.79910278,-0.481603574,7.982462883,-1.582565604,5.00549984,-1.123745331,-17.15981674,-1.349063526,-32.35395432,-1.587660004,17.55444717,-1.85852979,-1.550741434,-1.365231487,-9.902292252,-0.458858409,-0.006020132,1.175884128,1.176146269,11.79381847,6.021537304,1.637584925,247.2033081,0.679252446,0.677611947,-0.031523945,7.111083866,8.131626129,3.686276913,2.588907957,9.680599213,11.66919708,1.450149357,12.8802428,6455.892722,9723.863796,0.360749125,-253.7315287,51.71459961,-79.29779777,-31.30742264,0.076170797,-1.143621564,-19.91174767,-6.498020649,-6.198302703,1.448055029,1.658582594,-7.916308403,-4.628516453,2.502749443,2.056151607,2.067269325,0.564530803,-4.214335442,1.934864415,-8.302711487,-2.610463782,-1.646193504,-0.88723089,0.901674509,-2.376184544,-0.758368969,Asthma
-0.000323852,0.063012024,0.063013272,17.82284467,8.479896426,1.585889145,419.3318518,0.045116722,0.045110735,-0.012505163,7.529506514,0.83852595,5.41546998,0.339378096,2.519496352,17.82287263,9.918540215,133.5029488,585.7356365,705.3667008,3.14E-05,-560.3229658,-506.2746907,51.91489062,113.1059912,45.64458654,80.28294867,36.68986588,44.93557209,26.39697809,20.1747518,16.37422896,9.434222731,7.989388435,6.962532222,2.165724773,5.358901165,-0.762125365,1.974128584,-1.042562769,-0.640461698,0.61658856,0.6817144,3.269128161,5.40579288,5.973037052,9.463791918,-11.80918407,17.37772751,21.01052666,115.0793915,1.920076013,1.638710856,13243.2666,16.06645012,12.69164562,-0.745273975,-1.339824718,41.84037018,9.491244316,-19.51196289,75.43505859,122.6324997,1.855939257,2.022762714,2527.888668,5857.03125,0.0906123,330.335907,-290.7949735,79.2353363,139.8004124,35.17685699,17.77769263,14.78279877,19.87523575,1.060703993,2.197360898,36.02671814,5.465492122,12.00386047,2.622158346,5.678457737,3.614192809,-18.91100121,1.291198892,-36.6761055,0.69690353,18.19480324,-0.71584908,0.613693595,-0.488299642,-11.48606586,-0.796884192,0.001792665,0.692330658,0.692387819,9.247173309,5.883734703,1.637140632,158.2509766,0.417157501,0.416420519,0.035836378,7.304789044,5.027724743,3.204782486,1.79916656,7.703900337,9.193450928,1.114148014,1.85608492,6446.151,9766.334803,0.374609858,-296.5529928,25.01145172,-76.56926261,-28.48130608,27.39009036,1.494478941,-16.03066649,-14.86496353,2.266925933,-1.08783555,-4.50842705,-7.036741734,0.125228861,1.653213739,-2.162278151,0.94225055,0.770022501,-4.812604427,3.657694982,-6.303254128,-2.116022001,-0.836878121,1.954955784,0.322713852,-2.953437345,-1.13670361,Asthma
0.002422525,0.063736892,0.063798295,18.04488294,9.55411785,1.442363905,545.3278852,0.04685188,0.046841177,-0.057766015,6.870933164,0.858426896,4.635212077,0.380852859,2.468598341,18.06165467,9.443604834,121.6889715,1105.204501,1295.746783,0.000108612,-585.2653333,-503.6012907,58.40754259,134.0589754,22.76951117,51.23223204,-2.506104385,18.50112109,-2.312968035,12.81606552,13.28520932,6.243062073,22.57852078,6.450538166,15.13361561,8.957119553,-0.330518981,5.052698356,-8.17486889,0.686636465,-2.35132538,1.504867616,9.87656735,6.032988673,17.74194232,8.450615755,8.99001503,20.47780037,22.36427307,122.4941635,1.187776923,1.023698449,15004.82031,19.44920921,16.03099442,-0.58621145,-1.57664865,48.18196869,9.616127014,4.199493408,77.03868103,116.3390427,1.944396784,2.600142041,2216.424226,4941.870117,0.064803973,323.5305176,-42.76129968,93.32159424,120.7317002,31.20191193,48.86613571,16.77771187,29.33217008,3.478422642,15.35520864,20.69002533,8.358730311,9.904863358,3.62441389,-0.399073362,0.599415564,-2.868472576,-1.337551575,-11.71964836,-2.10160339,0.785056412,-2.204334369,10.08197212,-1.747511647,-3.246927023,-1.07821692,0.011379366,0.687171519,0.68813026,9.536640167,6.633453369,1.519268274,182.9498749,0.448665023,0.447832793,0.169732682,8.481825771,4.517514706,3.468850136,1.708399057,7.917844296,9.498182297,1.247196097,2.274541801,6312.325913,9630.267758,0.385867357,-294.3256902,44.08795166,-84.14383032,-26.96527481,46.9836958,-0.345074654,-22.02852366,-7.649264812,5.195015555,1.211121321,-7.256517332,-4.236168385,-1.468180571,0.442508042,-0.950551449,-0.430075705,-1.096980649,-3.128437996,0.213115259,-1.660412073,0.028298736,-4.494588375,-1.190086367,-0.359094739,-2.099416611,-0.001285672,Asthma
0.002574739,0.061770076,0.061857431,17.49592364,7.883717719,1.654643635,385.6453618,0.042373243,0.042373088,0.006352183,7.321912775,0.805200765,5.481681223,0.316665497,2.69163157,17.51958506,9.049804544,106.4034434,583.3859377,717.6762866,0.000149353,-568.2111736,-493.6719879,52.70462145,114.3605303,46.70348934,78.87814271,38.21775534,41.9346728,28.53682017,17.74553113,19.16143339,9.1902292,11.35372587,8.558317023,5.960166375,6.955395114,3.253639,2.065861182,2.93230043,-1.884769478,4.261833475,-0.466370753,6.311034115,5.465272277,8.186831193,10.39020999,24.2852211,5.668066502,24.93790436,136.5905304,1.368886471,1.026875734,18656.97266,4.219990253,3.648583412,-0.381038622,0.810972995,25.18481827,9.833974838,9.199256897,70.26621246,179.2092133,3.561773316,10.82856091,2531.864409,6438.427734,0.072749704,336.3176575,-56.57195939,66.53952026,120.0205915,26.1174736,50.81645245,20.38994598,30.15919675,5.072810173,15.31981972,30.25730705,7.676052077,7.763033867,2.794333221,-0.507710457,0.004407653,-6.04831028,-1.555386363,-0.572769523,-2.042749166,21.69325829,-2.042088968,2.741816044,-1.600138318,-0.270554364,-0.9342327,0.00203132,0.604892075,0.605525792,8.758073807,6.265447617,1.547531605,136.0804443,0.398554623,0.397616565,-0.102830661,5.499632103,4.103269577,3.171900988,1.385322332,7.342017174,8.742774963,1.22183852,3.263029497,6426.289859,9731.23297,0.411910385,-302.528547,29.5458107,-109.3785559,-28.21549988,25.57836038,3.597070456,-21.22603238,-4.924030781,11.12936132,3.249974012,-6.527240885,-3.741056442,-1.683109944,2.204759598,1.553250385,-0.994788527,-6.933881531,-4.003772736,3.231374118,-4.145320415,-2.100032866,0.290360302,2.76515115,-3.766133785,-2.43829348,-2.171427727,Asthma
-0.001150506,0.043643122,0.043664381,12.35015205,8.166281545,1.487426748,209.9842443,0.031973512,0.031972407,0.050156392,5.900038486,0.637746713,4.573514253,0.286647314,1.601767063,12.35585338,10.66065841,154.8344709,535.859538,642.5672397,2.96E-05,-589.6343166,-533.0336198,49.47582894,109.0041943,43.22696872,75.58256778,34.88042549,41.88044271,25.63116021,20.86966149,17.11645582,14.06723437,10.62480279,13.97028094,6.87985249,12.64122502,5.911153353,7.753365869,7.140014023,2.701601612,9.580447548,1.698900133,12.14668514,4.667335184,13.92350822,7.119808177,-5.568731308,8.774441719,10.39238167,56.92142105,1.901762247,1.557221532,3240.048096,8.158664703,6.47468996,-0.70874781,-1.39700831,20.87048721,8.083343506,-9.285734177,37.00076675,59.81147003,1.813888571,1.833474804,2461.770586,5609.399414,0.082163714,257.0480652,-314.2926879,83.79046631,118.2650032,31.21957397,33.87562506,19.03938675,20.23471995,0.286390126,10.07339575,32.20054626,7.559322685,15.91424465,5.659401597,2.73731184,3.77516692,-10.86162949,1.476846778,-44.92967987,-0.270011031,17.94488907,-1.373773945,1.797600865,-1.537126299,-9.114967346,-1.487058514,-0.00085288,0.400885463,0.401033998,5.882547379,6.147498131,1.618949413,73.10127258,0.251331508,0.25099355,0.137829296,6.498064731,3.144248724,2.275828362,1.229595304,4.954014778,5.852200508,1.095353329,1.764418555,6403.92065,9725.138142,0.400579214,-315.6709461,-16.33609772,-71.51566647,-29.46817589,27.82372552,-0.767341375,-11.8495247,-8.066188812,2.386869399,4.514692783,-5.038850802,-6.559081078,-8.520258439,2.067131519,2.469972108,-0.690793157,-4.987428423,-3.029877901,3.078405592,-2.030585766,-3.986087356,-3.115120411,3.101167097,1.562162876,-1.584335389,0.641182065,Asthma
-0.000212346,0.047799469,0.047800343,13.51997858,7.839646808,2.465495402,253.9772707,0.026620106,0.026617203,0.072688605,14.05012814,0.732024042,4.704601887,0.347154386,2.203887691,13.51773972,9.164144493,102.2078236,1099.13228,1430.432168,0.000109391,-560.0513157,-509.3019163,36.19218985,84.59499014,20.51133665,51.59184503,8.397922095,24.79463664,6.852278629,14.06611034,12.28928648,13.56733293,14.88456064,13.51607539,8.528581134,9.427047359,-3.587398148,2.705689038,-12.59079976,-1.791543914,-12.46771225,-0.095062171,-5.034879442,6.134404453,2.769301276,10.51832786,51.26082993,48.24066544,70.39059448,385.5451355,1.37999332,1.183029413,148645.0625,46.22111893,39.08174515,-0.490419634,-1.714422199,110.406601,11.90931702,26.74795532,241.0682983,430.7904358,2.447771441,4.847467844,2185.284542,5200.268555,0.053578138,424.6364441,83.219171,81.17420959,119.8630867,31.59925079,49.36499595,22.59639359,29.53684109,14.91540337,15.34791984,13.29548454,8.159223587,8.030405045,3.378597078,7.670245171,0.421611619,6.376584053,-1.403038502,6.512097836,-2.086623881,3.885710716,-2.158825082,5.229012489,-1.705750994,3.740554333,-1.033240702,-0.00420717,1.004602075,1.004872799,10.20374203,6.832649231,2.024917364,158.8039093,0.506571651,0.504368484,0.348832899,16.9577101,8.007362366,3.72006011,3.182751417,8.407614708,10.14748192,0.8576256,0.937738233,6799.800421,9831.490275,0.372964978,-299.6574305,27.19247055,-116.5566841,-47.91677856,13.08305001,-4.268294334,-3.426528102,-13.81429768,1.093552452,-4.197372437,2.139121321,-2.64841342,-0.531169995,-1.667563438,4.570048196,-4.099594116,-7.117548308,-5.001726627,6.188061503,-1.248376727,-4.081930292,-0.001189113,2.989839185,3.100804329,-1.320005772,3.305824757,Asthma
0.002114552,0.033755998,0.033874153,9.581057372,13.23827268,2.764919709,132.1123208,0.017684295,0.017683859,-0.011381655,57.86744589,0.667662383,4.079582566,0.296296626,1.417146331,9.614128657,10.51058,139.11043,877.293583,1291.152118,0.000372062,-581.0866833,-525.1958276,33.0279044,94.34008062,27.93037938,59.51678446,20.56906745,25.73996751,12.05270534,7.711870535,3.728348399,5.70074778,-3.196100437,9.648080221,-7.841195269,9.974240397,-9.797621681,5.044914987,-9.151141882,0.325490708,-6.412437726,1.354397925,-2.367587212,7.406638474,2.102135172,12.09637584,-2.085363388,0.959805131,2.295640469,12.57374096,1.256863594,1.044264197,158.0989685,0.62389338,0.481916159,2.529651601,5.904702085,4.517897129,5.063221455,-0.663050175,8.240047455,15.83745575,3.434988717,10.26373544,3214.76676,7536.621094,0.146676764,134.3410187,-91.61953223,48.60212326,28.93344109,9.135918617,-60.71973245,24.31634521,-8.62872296,12.69245529,17.60278678,41.33766937,8.187271922,-10.89076805,-6.438450815,1.053631663,-5.518736593,-2.44370079,3.750777502,13.43777752,6.658617195,16.72670364,-3.063137919,13.1846199,-7.930974135,4.389226913,2.918418264,0.002056004,0.280527323,0.280629247,4.583526611,6.633306503,1.713794231,39.14553452,0.175155237,0.174579784,0.001528308,10.00821557,2.275350571,2.015991688,0.840866566,3.67597723,4.548081398,1.094310912,1.705438288,6320.487797,9628.455863,0.382289082,-390.1177992,-40.25559616,-86.29786362,-24.1844368,29.84326733,4.724873066,-7.784606954,-2.534445763,-0.755695976,2.635464191,-4.478499581,-5.082831383,2.117441372,1.44905889,1.553754058,-0.95644778,-2.161566198,-1.412509441,1.559044388,-1.740645051,-4.397229371,-2.734848022,-1.292298572,-5.082743645,-2.074578198,-3.913918972,Asthma
0.005733479,0.034529234,0.035093728,9.926005246,25.01064897,2.791913079,264.4208706,0.022959168,0.022959144,0.036658908,257.7625607,0.842636801,3.049214289,0.378715741,1.706049881,10.08227056,8.451659448,131.8114285,1586.736704,1949.149201,0.000225033,-633.08344,-546.1153203,42.69449048,108.997881,10.63593867,43.12475612,-11.78256949,1.115981315,-9.427764516,-1.851000877,9.157793037,10.54771671,21.96279998,17.10300624,15.45331064,14.88005089,-3.874358504,8.03527114,-18.04334941,2.063463268,-15.65321184,3.102999887,-1.1465383,10.61171701,11.97640953,14.94298368,23.09133911,24.53808022,33.69461823,184.5530243,1.913427234,1.459188581,34059.82031,22.59240341,17.79202461,0.771958001,-1.28609207,60.28465652,10.43587399,30.77758026,119.708725,209.5454407,2.241671437,3.954211305,2501.664789,5900.097656,0.089026555,375.0874634,-210.4387887,78.89204407,130.3989684,35.96801376,53.33567365,12.58176899,27.79409214,2.262308121,10.70952819,37.89101028,3.17469878,10.79771233,-0.062701398,4.812597275,-0.796191577,-14.90553856,-1.090774098,-32.31122971,-1.29548039,17.22418976,-1.593844434,-0.737467408,-1.389358381,-8.725679398,-0.611238407,0.000554133,0.960354686,0.960689008,9.234257698,11.76951122,1.926712871,145.1425934,0.531027734,0.530294836,0.111353309,69.25667067,7.203281403,3.451970816,2.726757765,7.599388123,9.128298759,0.951491126,0.965359269,6443.039279,9729.492696,0.370776117,-261.5610124,27.11624908,-82.43956968,-32.21683502,3.094762816,1.704906225,-13.21794176,-9.062670708,4.772181828,2.277484417,-2.876489263,-5.879354954,-4.42250781,2.160463572,5.012659802,3.092288971,-1.451221128,-4.239121437,2.782706397,-4.878488541,-1.963989608,0.327070177,1.207528068,-0.689151168,-1.989792316,-0.297003746,Asthma
-0.000502688,0.05499271,0.054996554,15.55537458,7.671801842,2.191545232,288.4519159,0.0320831,0.032082443,0.022333497,12.86105268,0.844900935,5.287204745,0.374303467,2.068977239,15.55559754,13.68821301,249.3332757,620.1198214,822.7020847,5.17E-05,-530.9948338,-490.0822592,37.105379,82.24916383,33.62334484,64.53196628,28.65878413,43.77990388,22.6120527,26.11160911,16.21083296,14.65808522,10.16071009,8.609283416,5.094886772,5.572048641,1.471085473,3.98068132,-0.47673682,3.766929094,-0.760645669,5.164441271,0.386210995,7.373454275,2.558613407,8.611516589,-33.40181351,29.74889374,44.72893906,244.9904785,1.880974054,1.33911705,60020.33594,27.39471817,21.25758553,-0.798538486,-1.238404236,80.07159424,11.00243855,-48.79131699,159.165802,287.2870789,2.505547841,5.407921006,2569.830932,6287.695313,0.097800337,407.5072327,-114.2710223,76.6300354,120.2407108,31.70868301,52.93867335,13.99102974,30.09644997,4.027550697,13.7903375,37.70775604,5.567118055,7.508481026,1.111331488,4.360174179,-0.722983858,-15.3886919,-1.462124549,-27.59911346,-1.615595747,19.79346275,-1.682528316,-2.012055874,-1.402027445,-7.114694595,-0.752671009,-0.00281367,1.157040238,1.157204509,11.19157028,6.76995039,1.80036366,207.2750702,0.629296958,0.627875566,0.061426363,9.848514911,8.423904419,3.597916365,2.87327981,9.196824074,11.09133148,1.26233726,3.81579446,6513.915653,9677.455186,0.376822948,-237.0942287,40.12935638,-89.69751142,-35.11826324,17.01838155,-0.667235374,-0.132320667,-4.69558239,-2.381054437,-0.671707869,6.293304707,-4.413964748,-1.407552736,5.060536385,4.096816768,4.009756088,-6.26964483,-5.675762177,4.69469437,-7.39578104,-1.637819196,0.358174503,2.07120907,-1.107609034,-2.325972229,-2.350138664,Asthma
